Org Name,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade,location,coordinates,lat,lon
Boston: Frederick Pilot Middle School,350383,Public School,Principal,Meghan Mcgoldrick,270 Columbia Road,,Dorchester,MA,2121,617-635-1650,617-635-1637,"06,07,08","270 Columbia Road, Dorchester, MA","(42.3214888, -71.0528615)",42.3214888,-71.0528615
Boston: Gardner Pilot Academy,350326,Public School,Principal,Erica Herman,30 Athol Street,,Allston,MA,2134,617-635-8365,617-635-7812,"PK,K,01,02,03,04,05,06,07,08","30 Athol Street, Allston, MA","(42.36075595, -71.13397379082869)",42.36075595,-71.13397379082869
Boston: Greater Egleston High School,350543,Public School,Principal,Kevin Brill,80 School St,,Roxbury,MA,2119,617-635-6429,617-635-6469,"09,10,11,12","80 School St, Roxbury, MA","(42.3141479, -71.0992242)",42.3141479,-71.0992242
Boston: Greenwood Sarah K-8 School,350308,Public School,Principal,Antonelli Mejia,189 Glenway Street,,Dorchester,MA,2121,617-635-8710,617-635-8713,"PK,K,01,02,03,04,05,06,07,08","189 Glenway Street, Dorchester, MA","(42.2969265, -71.0803295)",42.2969265,-71.0803295
Boston: Grew Elementary School,350135,Public School,Principal,Michelle Simon,40 Gordon Avenue,,Hyde Park,MA,2136,617-635-8715,617-635-8718,"PK,K,01,02,03,04,05,06","40 Gordon Avenue, Hyde Park, MA","(42.256601849999996, -71.12692633672484)",42.256601849999996,-71.12692633672484
Boston: Guild Elementary School,350062,Public School,Principal,Karen McCarthy,195 Leyden Street,,East Boston,MA,2128,617-635-8523,617-635-8526,"PK,K,01,02,03,04,05,06","195 Leyden Street, East Boston, MA","(42.3885612, -71.0041991)",42.3885612,-71.0041991
Boston: Hale Elementary School,350243,Public School,Principal,Candice Whitmore,51 Cedar Street,,Roxbury,MA,2119,617-635-8205,617-635-8558,"PK,K,01,02,03,04,05,06","51 Cedar Street, Roxbury, MA","(42.325594249999995, -71.09101457721474)",42.325594249999995,-71.09101457721474
Boston: Haley Pilot School,350077,Public School,Principal,Kathleen Sullivan,570 American Legion Highway,,Roslindale,MA,2131,617-635-8169,617-635-8173,"PK,K,01,02,03,04,05,06,07,08","570 American Legion Highway, Roslindale, MA","(42.28630805, -71.10783870273136)",42.28630805,-71.10783870273136
Boston: Harvard-Kent Elementary School,350200,Public School,Principal,Mark Silva,50 Bunker Hill Street,,Charlestown,MA,2129,617-635-8358,617-635-8364,"PK,K,01,02,03,04,05,06","50 Bunker Hill Street, Charlestown, MA","(42.3767055, -71.05778917400042)",42.3767055,-71.05778917400042
Boston: Haynes Early Education Center,350010,Public School,Principal,Donette Wilson-Wood,263 Blue Hill Avenue,,Roxbury,MA,2119,617-635-6446,617-635-9795,"PK,K,01","263 Blue Hill Avenue, Roxbury, MA","(42.3152461, -71.0789944)",42.3152461,-71.0789944
Boston: Henderson K-12 Inclusion School Lower,350266,Public School,Principal,Stephanie Sibley,1669 Dorchester Avenue,,Dorchester,MA,2122,617-635-8725,617-635-8728,"PK,K,01","1669 Dorchester Avenue, Dorchester, MA","(42.2938463, -71.06225464489052)",42.2938463,-71.06225464489052
Boston: Henderson K-12 Inclusion School Upper,350426,Public School,Principal,Stephanie Sibley,18 Croftland Av,,Dorchester,MA,2124,617-635-6365,617-635-6367,"02,03,04,05,06,07,08,09,10,11,12","18 Croftland Av, Dorchester, MA","(42.2812487, -71.0695697)",42.2812487,-71.0695697
Boston: Hennigan K-8 School,350153,Public School,Principal,Tanya Woodard,200 Heath Street,,Jamaica Plain,MA,2130,617-635-8264,617-635-8271,"K,01,02,03,04,05,06,07,08","200 Heath Street, Jamaica Plain, MA","(42.326114450000006, -71.10674285895824)",42.326114450000006,-71.10674285895824
Boston: Hernandez K-8 School,350691,Public School,Principal,Carolina Brito,61 School Street,,Roxbury,MA,2119,617-635-8187,617-635-8190,"PK,K,01,02,03,04,05,06,07,08","61 School Street, Roxbury, MA","(42.3139093, -71.097888)",42.3139093,-71.097888
Boston: Higginson Inclusion K0-2 School,350015,Public School,Principal,Karla Jenkins,160 Harrishof Street,,Roxbury,MA,2119,617-635-8247,617-635-8252,"PK,K,01,02","160 Harrishof Street, Roxbury, MA","(42.31741665, -71.09179895396954)",42.31741665,-71.09179895396954
Boston: Higginson-Lewis K-8 School,350377,Public School,Principal,Dana Skelly,131 Walnut Avenue,,Roxbury,MA,2119,617-635-8137,617-635-8252,"03,04,05,06,07,08","131 Walnut Avenue, Roxbury, MA","(42.32089155, -71.08687283010791)",42.32089155,-71.08687283010791
Boston: Holmes Elementary School,350138,Public School,Principal,Edverette Brewster,40 School Street,,Dorchester,MA,2124,617-635-8681,617-635-8685,"PK,K,01,02,03,04,05,06","40 School Street, Dorchester, MA","(42.29684825, -71.07579804608585)",42.29684825,-71.07579804608585
Boston: Horace Mann School for the Deaf Hard of Hearing,350750,Public School,Principal,Michelle Eisan-Smith,40 Armington Street,,Allston,MA,2134,617-635-8534,617-635-6379,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12","40 Armington Street, Allston, MA","(42.3521617, -71.1375176)",42.3521617,-71.1375176
Boston: Hurley K-8 School,350182,Public School,Principal,Bethy Verano,70 Worcester Street,,Boston,MA,2118,617-635-8489,617-635-6868,"PK,K,01,02,03,04,05,06,07,08","70 Worcester Street, Boston, MA","(42.33890905, -71.07796447800828)",42.33890905,-71.07796447800828
Boston: Kennedy John F Elementary School,350166,Public School,Principal,Christine Copeland,7 Bolster Street,,Jamaica Plain,MA,2130,617-635-8127,617-635-8130,"PK,K,01,02,03,04,05,06","7 Bolster Street, Jamaica Plain, MA","(42.3218161, -71.1056342)",42.3218161,-71.1056342
Boston: Kennedy Patrick J Elementary School,350264,Public School,Principal,Kristen Goncalves,343 Saratoga Street,,East Boston,MA,2128,617-635-8466,617-635-8469,"PK,K,01,02,03,04,05,06","343 Saratoga Street, East Boston, MA","(42.37853845, -71.03012695795454)",42.37853845,-71.03012695795454
Boston: Kenny Elementary School,350328,Public School,Principal,Shereka King,19 Oakton Avenue,,Dorchester,MA,2122,617-635-8789,617-635-8791,"PK,K,01,02,03,04,05,06","19 Oakton Avenue, Dorchester, MA","(42.28653365, -71.05323455593364)",42.28653365,-71.05323455593364
Boston: Kilmer K-8 School,350190,Public School,Principal,Joseph Foley,35 Baker Street,,West Roxbury,MA,2132,617-635-8060,617-635-8063,"PK,K,01,02,03,04,05,06,07,08","35 Baker Street, West Roxbury, MA","(42.2720176, -71.1625165)",42.2720176,-71.1625165
Boston: King Elementary School,350376,Public School,Principal,Grace Coleman,77 Lawrence Avenue,,Dorchester,MA,2121,617-635-8212,617-635-9356,"PK,K,01,02,03,04,05,06","77 Lawrence Avenue, Dorchester, MA","(42.3109333, -71.07653906727731)",42.3109333,-71.07653906727731
Boston: Lee Academy,350001,Public School,Principal,Alexandre Chery,25 Dunbar Avenue,,Dorchester,MA,2124,617-635-8618,617-635-8621,"PK,K,01,02,03","25 Dunbar Avenue, Dorchester, MA","(42.286699049999996, -71.07272047867454)",42.286699049999996,-71.07272047867454
Boston: Lee K-8 School,350183,Public School,Principal,Paul Kennedy,155 Talbot Avenue,,Dorchester,MA,2124,617-635-8687,617-635-8692,"PK,K,01,02,03,04,05,06,07,08","155 Talbot Avenue, Dorchester, MA","(42.29190145, -71.08043208216999)",42.29190145,-71.08043208216999
Boston: Lyndon K-8 School,350262,Public School,Principal,Catherine Carney,20 Mt. Vernon Street,,West Roxbury,MA,2132,617-635-6824,617-635-6828,"PK,K,01,02,03,04,05,06,07,08","20 Mt. Vernon Street, West Roxbury, MA","(42.2926585, -71.1522903)",42.2926585,-71.1522903
Boston: Lyon High School,350655,Public School,Principal,Jean-Dominique Herve Anoh,95 Beechcroft Street,,Brighton,MA,2135,617-635-8351,617-635-8353,"09,10,11,12","95 Beechcroft Street, Brighton, MA","(42.352128050000005, -71.16072818669493)",42.352128050000005,-71.16072818669493
Boston: Lyon K-8 School,350004,Public School,Principal,Jean-Dominique Herve Anoh,50 Beechcroft Street,,Brighton,MA,2135,617-635-7945,617-635-7949,"K,01,02,03,04,05,06,07,08","50 Beechcroft Street, Brighton, MA","(42.3511302, -71.1614958)",42.3511302,-71.1614958
Boston: Madison Park Technical Vocational High School,350537,Public School,Principal,Sidney Brown,75 Malcolm X Blvd,,Roxbury,MA,2120,617-635-8970,617-635-9831,"09,10,11,12","75 Malcolm X Blvd, Roxbury, MA","(42.329838, -71.08716440816326)",42.329838,-71.08716440816326
Boston: Manning Elementary School,350184,Public School,Principal,Allyson Hart,130 Louders Lane,,Jamaica Plain,MA,2130,617-635-8102,617-635-9348,"PK,K,01,02,03,04,05,06","130 Louders Lane, Jamaica Plain, MA",,,
Boston: Margarita Muniz Academy,350549,Public School,Principal,Dania Vazquez,20 Child Street,,Boston,MA,2130,617-470-6907,--,"09,10,11,12","20 Child Street, Boston, MA","(42.3073557, -71.1142517)",42.3073557,-71.1142517
Boston: Mario Umana Academy,350656,Public School,Principal,Christina Michel,312 Border Street,,East Boston,MA,2128,617-635-8481,617-635-9545,"PK,K,01,02,03,04,05,06,07,08","312 Border Street, East Boston, MA","(42.378079400000004, -71.04146317452285)",42.378079400000004,-71.04146317452285
Boston: Mason Elementary School,350304,Public School,Principal,Carolyn Allston,150 Norfolk Avenue,,Roxbury,MA,2119,617-635-8405,617-635-8406,"PK,K,01,02,03,04,05","150 Norfolk Avenue, Roxbury, MA","(42.32611855, -71.07135044426468)",42.32611855,-71.07135044426468
Boston: Mather Elementary School,350227,Public School,Principal,Hai Son,1 Parish Street,,Dorchester,MA,2122,617-635-8757,617-635-8762,"PK,K,01,02,03,04,05","1 Parish Street, Dorchester, MA","(42.308308, -71.06087346688483)",42.308308,-71.06087346688483
Boston: Mattahunt Elementary School,350016,Public School,Principal,Walter Henderson,123 Alabama St,,Mattapan,MA,2126,617-635-8792,617-635-8799,"PK,K,01,02,03,04,05,06","123 Alabama St, Mattapan, MA","(42.27657266045589, -71.1017082076193)",42.27657266045589,-71.1017082076193
Boston: McKay K-8 School,350080,Public School,Principal,Jason Meland,122 Cottage Street,,East Boston,MA,2128,617-635-8510,617-635-8515,"PK,K,01,02,03,04,05,06,07,08","122 Cottage Street, East Boston, MA","(42.3692295, -71.0347892)",42.3692295,-71.0347892
Boston: McKinley Schools,350363,Public School,Principal,Cindie Neilson,90 Warren Avenue,,Boston,MA,2116,617-635-9976,617-635-9985,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12","90 Warren Avenue, Boston, MA","(42.34426675, -71.07379692197868)",42.34426675,-71.07379692197868
Boston: Mendell Elementary School,350100,Public School,Principal,Michelle Morrissey,164 School Street,,Roxbury,MA,2119,617-635-8234,617-635-8238,"PK,K,01,02,03,04,05,06","164 School Street, Roxbury, MA","(42.3165878, -71.1016242)",42.3165878,-71.1016242
Boston: Mildred Avenue K-8 School,350378,Public School,Principal,Kristina Reeves-barber,5 Mildred Avenue,,Mattapan,MA,2126,617-635-1642,617-635-1641,"PK,K,01,02,03,04,05,06,07,08","5 Mildred Avenue, Mattapan, MA","(42.27582625, -71.0913064440368)",42.27582625,-71.0913064440368
Boston: Mozart Elementary School,350237,Public School,Principal,Lianne Hughes Shackelford,236 Beech Street,,Roslindale,MA,2131,617-635-8082,617-635-8087,"PK,K,01,02,03,04,05,06","236 Beech Street, Roslindale, MA","(42.28118965, -71.14102152363313)",42.28118965,-71.14102152363313
Boston: Murphy K-8 School,350240,Public School,Principal,Courtney Sheppeck,1 Worrell Street,,Dorchester,MA,2122,617-635-8781,617-635-8787,"PK,K,01,02,03,04,05,06,07,08","1 Worrell Street, Dorchester, MA","(42.294162650000004, -71.04910276683086)",42.294162650000004,-71.04910276683086
Boston: New Mission High School,350542,Public School,Principal,William Thomas,655 Metropolitan Ave,,Hyde Park,MA,2136,617-635-6437,617-635-6332,"07,08,09,10,11,12","655 Metropolitan Ave, Hyde Park, MA","(42.263065499999996, -71.11787896758847)",42.263065499999996,-71.11787896758847
Boston: O'Bryant School of Math & Science,350575,Public School,Principal,Patreka Wood,55 Malcolm X Blvd,,Roxbury,MA,2120,617-635-9932,617-635-7769,"07,08,09,10,11,12","55 Malcolm X Blvd, Roxbury, MA","(42.329858, -71.08715808163265)",42.329858,-71.08715808163265
Boston: O'Donnell Elementary School,350141,Public School,Principal,Emily Sproviero,33 Trenton Street,,East Boston,MA,2128,617-635-8454,617-635-8459,"PK,K,01,02,03,04,05,06","33 Trenton Street, East Boston, MA","(42.378047949999996, -71.03799418974768)",42.378047949999996,-71.03799418974768
Boston: Ohrenberger School,350258,Public School,Principal,Terrance Johnson,175 West Boundary Road,,West Roxbury,MA,2132,617-635-8157,617-635-8163,"03,04,05,06,07,08","175 West Boundary Road, West Roxbury, MA","(42.2612274, -71.14888737629883)",42.2612274,-71.14888737629883
Boston: Orchard Gardens K-8 School,350257,Public School,Principal,Lauren Murdock,906 Albany Street,,Roxbury,MA,2119,617-635-1656,617-635-1634,"PK,K,01,02,03,04,05,06,07,08","906 Albany Street, Roxbury, MA","(42.3306514, -71.0771617)",42.3306514,-71.0771617
Boston: Otis Elementary School,350156,Public School,Principal,Paula Cerqueira-Goncalve,218 Marion Street,,East Boston,MA,2128,617-635-8372,617-635-8376,"PK,K,01,02,03,04,05,06","218 Marion Street, East Boston, MA","(42.37526475, -71.03390700574874)",42.37526475,-71.03390700574874
Boston: Perkins Elementary School,350231,Public School,Principal,Heela Roshan,50 Burke Street,,South Boston,MA,2127,617-635-8601,617-635-9774,"PK,K,01,02,03,04,05,06","50 Burke Street, South Boston, MA","(42.337018, -71.0851405)",42.337018,-71.0851405
Boston: Perry Elementary School,350255,Public School,Principal,Andrew Rollins,745 E. 7th Street,,South Boston,MA,2127,617-635-8840,617-635-6387,"PK,K,01,02,03,04,05,06","745 E. 7th Street, South Boston, MA",,,
Boston: Philbrick Elementary School,350172,Public School,Principal,Danladi Bobbitt,40 Philbrick Street,,Roslindale,MA,2131,617-635-8069,617-635-7927,"PK,K,01,02,03,04,05,06","40 Philbrick Street, Roslindale, MA","(42.28539495, -71.11773021683993)",42.28539495,-71.11773021683993
Boston: Quincy Elementary School,350286,Public School,Principal,Cynthia Soo hoo,885 Washington Street,,Boston,MA,2111,617-635-8497,617-635-7778,"PK,K,01,02,03,04,05","885 Washington Street, Boston, MA","(42.3479909, -71.064924)",42.3479909,-71.064924
Boston: Quincy Upper School,350565,Public School,Principal,Richard Chang,152 Arlington Street,,Boston,MA,2116,617-635-8940,617-635-1524,"06,07,08,09,10,11,12","152 Arlington Street, Boston, MA","(42.3483857, -71.0688702)",42.3483857,-71.0688702
Boston: Roosevelt K-8 School,350116,Public School,Principal,Bannet Steele,95 Needham Road,,Hyde Park,MA,2136,617-635-8676,617-635-8679,"PK,K,01,02,03,04,05,06,07,08","95 Needham Road, Hyde Park, MA","(42.242931299999995, -71.12406536192915)",42.242931299999995,-71.12406536192915
Boston: Russell Elementary School,350366,Public School,Principal,Derrick Ciesla,750 Columbia Road,,Dorchester,MA,2125,617-635-8803,617-635-9768,"PK,K,01,02,03,04,05","750 Columbia Road, Dorchester, MA","(42.3203532, -71.0595351)",42.3203532,-71.0595351
Boston: Shaw Elementary School,350014,Public School,Principal,Tinu Arowosegbe,429 Norfolk Street,,Dorchester,MA,2124,617-635-8777,617-635-8721,"PK,K,01,02,03,04","429 Norfolk Street, Dorchester, MA","(42.2890625, -71.073887)",42.2890625,-71.073887
Boston: Snowden International High School,350690,Public School,Principal,Raquel Martinez,150 Newbury Street,,Boston,MA,2116,617-635-9989,617-635-9996,"09,10,11,12","150 Newbury Street, Boston, MA","(42.3505737, -71.0779829)",42.3505737,-71.0779829
Boston: Sumner Elementary School,350052,Public School,Principal,Meghan Welch,15 Basile Street,,Roslindale,MA,2131,617-635-8131,617-635-8136,"PK,K,01,02,03,04,05,06","15 Basile Street, Roslindale, MA","(42.28645695, -71.12688714732712)",42.28645695,-71.12688714732712
Boston: Taylor Elementary School,350054,Public School,Principal,Jennifer Marks,1060 Morton Street,,Mattapan,MA,2126,617-635-8731,617-635-6877,"PK,K,01,02,03,04,05,06","1060 Morton Street, Mattapan, MA","(42.2778238, -71.0774497)",42.2778238,-71.0774497
Boston: TechBoston Academy,350657,Public School,Principal,Patrick Cleary,9 Peacevale Road,,Dorchester,MA,2124,617-635-1615,617-635-1622,"06,07,08,09,10,11,12","9 Peacevale Road, Dorchester, MA","(42.285233950000006, -71.07592660206873)",42.285233950000006,-71.07592660206873
Boston: Tobin K-8 School,350229,Public School,Principal,Natasha Halfkenny,40 Smith St,,Roxbury,MA,2120,617-635-8393,617-635-7900,"PK,K,01,02,03,04,05,06,07,08","40 Smith St, Roxbury, MA","(42.332964, -71.0983567)",42.332964,-71.0983567
Boston: Trotter Elementary School,350370,Public School,Principal,Sarita Thomas,135 Humboldt Avenue,,Dorchester,MA,2121,617-635-8225,617-635-7915,"PK,K,01,02,03,04,05,06","135 Humboldt Avenue, Dorchester, MA","(42.3156495, -71.08803560075552)",42.3156495,-71.08803560075552
