INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,streetlights_within_10_m
192014977,3114,,INVESTIGATE PROPERTY,E13,579,1,2019-02-26 23:03:00,2019,2,Tuesday,23,,CENTRE ST,42.32291395,-71.10328406,"(42.32291395, -71.10328406)",1
192015236,1501,,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",E13,584,1,2019-02-27 21:13:00,2019,2,Wednesday,21,,HEATH ST,42.32624192,-71.10317578,"(42.32624192, -71.10317578)",2
192015793,111,,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B3,456,1,2019-03-02 02:59:00,2019,3,Saturday,2,,GREENWOOD ST,42.30262118,-71.07918402,"(42.30262118, -71.07918402)",0
192016212,1402,,VANDALISM,B3,453,1,2019-03-03 21:33:00,2019,3,Sunday,21,,HARVARD ST,42.29869488,-71.07555209,"(42.29869488, -71.07555209)",0
192017263,3114,,INVESTIGATE PROPERTY,C11,340,1,2019-03-08 00:01:00,2019,3,Friday,0,,MOUNT IDA RD,42.30629079,-71.065125,"(42.30629079, -71.065125)",1
192017527,1402,,VANDALISM,E13,584,1,2019-03-08 23:08:00,2019,3,Friday,23,,HEATH ST,42.32610066,-71.10433339,"(42.32610066, -71.10433339)",0
192017563,3114,,INVESTIGATE PROPERTY,C11,357,1,2019-03-09 04:09:00,2019,3,Saturday,4,,GREENBRIER ST,42.29937494,-71.07194618,"(42.29937494, -71.07194618)",1
192017963,413,,ASSAULT - AGGRAVATED - BATTERY,B2,328,1,2019-03-11 00:16:00,2019,3,Monday,0,,INTERVALE ST,42.30942136,-71.07460033,"(42.30942136, -71.07460033)",1
192017981,3114,,INVESTIGATE PROPERTY,E13,307,1,2019-03-11 03:39:00,2019,3,Monday,3,,WALNUT PARK,42.31591894,-71.09691298,"(42.31591894, -71.09691298)",1
192018241,423,,ASSAULT - AGGRAVATED,E18,489,1,2019-03-11 22:13:00,2019,3,Monday,22,,WOOD AVE,42.26693192,-71.11138405,"(42.26693192, -71.11138405)",0
192018520,3114,,INVESTIGATE PROPERTY,C11,332,1,2019-03-12 22:58:00,2019,3,Tuesday,22,,COLUMBIA RD,42.31363398,-71.06778029,"(42.31363398, -71.06778029)",0
192018773,3114,,INVESTIGATE PROPERTY,E18, ,1,2019-03-13 21:26:00,2019,3,Wednesday,21,,RIVER ST,42.26775089,-71.09336052,"(42.26775089, -71.09336052)",2
192018779,3114,,INVESTIGATE PROPERTY,B3,421,1,2019-03-13 21:36:00,2019,3,Wednesday,21,,W SELDEN ST,42.27967481,-71.08381267,"(42.27967481, -71.08381267)",0
192018780,3114,,INVESTIGATE PROPERTY,E18,481,1,2019-03-13 21:40:00,2019,3,Wednesday,21,,CUMMINS HWY,42.26939204,-71.09684345,"(42.26939204, -71.09684345)",0
192019425,3114,,INVESTIGATE PROPERTY,B2,288,1,2019-03-15 23:33:00,2019,3,Friday,23,,MADISON PARK CT,42.33102935,-71.08618282,"(42.33102935, -71.08618282)",1
192019438,3114,,INVESTIGATE PROPERTY,D4,591,1,2019-03-16 00:43:00,2019,3,Saturday,0,,CHARLESGATE E,42.34698248,-71.09111992,"(42.34698248, -71.09111992)",1
192019453,3115,,INVESTIGATE PERSON,B2,305,1,2019-03-16 02:10:00,2019,3,Saturday,2,,MAYFAIR ST,42.32018377,-71.0905002,"(42.32018377, -71.0905002)",1
192019466,2662,,BALLISTICS EVIDENCE/FOUND,B3,464,1,2019-03-16 03:35:00,2019,3,Saturday,3,,HARVARD ST,42.29076604,-71.0916154,"(42.29076604, -71.0916154)",0
192019710,3114,,INVESTIGATE PROPERTY,C6, ,1,2019-03-17 00:00:00,2019,3,Sunday,0,,NEWMARKET SQ,,,,0
192019705,423,,ASSAULT - AGGRAVATED,C6,177,1,2019-03-17 02:00:00,2019,3,Sunday,2,,MASSACHUSETTS AVE,42.33152137,-71.0708531,"(42.33152137, -71.0708531)",0
192019700,423,,ASSAULT - AGGRAVATED,C6,176,1,2019-03-17 02:28:00,2019,3,Sunday,2,,NEWMARKET SQ,42.32754032,-71.0659839,"(42.32754032, -71.0659839)",0
192019706,3114,,INVESTIGATE PROPERTY,A7,26,1,2019-03-17 02:44:00,2019,3,Sunday,2,,MERIDIAN ST,42.37996477,-71.03923318,"(42.37996477, -71.03923318)",2
192020195,3114,,INVESTIGATE PROPERTY,D4,171,1,2019-03-18 20:26:00,2019,3,Monday,20,,HARRISON AVE,42.33581722,-71.07404386,"(42.33581722, -71.07404386)",0
192020220,3114,,INVESTIGATE PROPERTY,C11,340,1,2019-03-18 20:36:00,2019,3,Monday,20,,DRAPER ST,42.30540704,-71.06547139,"(42.30540704, -71.06547139)",1
192020229,3114,,INVESTIGATE PROPERTY,B3,453,1,2019-03-18 23:26:00,2019,3,Monday,23,,HARVARD ST,42.29869488,-71.07555209,"(42.29869488, -71.07555209)",0
192020265,2662,,BALLISTICS EVIDENCE/FOUND,B3,454,1,2019-03-19 06:12:00,2019,3,Tuesday,6,,HARVARD ST,42.29869488,-71.07555209,"(42.29869488, -71.07555209)",0
192020513,3114,,INVESTIGATE PROPERTY,D4,146,1,2019-03-20 01:38:00,2019,3,Wednesday,1,,W NEWTON ST,42.34451283,-71.08049721,"(42.34451283, -71.08049721)",2
192021517,3114,,INVESTIGATE PROPERTY,E13, ,1,2019-03-23 23:24:00,2019,3,Saturday,23,,HEATH ST,,,,0
192021533,1501,,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",D4,138,1,2019-03-24 02:06:00,2019,3,Sunday,2,,BOYLSTON ST,42.3486237,-71.08277641,"(42.3486237, -71.08277641)",1
192021724,2662,,BALLISTICS EVIDENCE/FOUND,B3,439,1,2019-03-24 20:07:00,2019,3,Sunday,20,,FLOYD ST,42.28952841,-71.08851426,"(42.28952841, -71.08851426)",0
192021753,1402,,VANDALISM,B3,465,1,2019-03-24 22:48:00,2019,3,Sunday,22,,BLUE HILL AVE,42.28529223,-71.09121675,"(42.28529223, -71.09121675)",1
192021764,2662,,BALLISTICS EVIDENCE/FOUND,C11,347,1,2019-03-24 23:50:00,2019,3,Sunday,23,,ADAMS ST,42.30497354,-71.06134416,"(42.30497354, -71.06134416)",1
192022042,3114,,INVESTIGATE PROPERTY,C11,347,1,2019-03-25 21:50:00,2019,3,Monday,21,,LINDEN ST,42.30570811,-71.06015455,"(42.30570811, -71.06015455)",1
192022294,3114,,INVESTIGATE PROPERTY,E13,906,1,2019-03-26 22:54:00,2019,3,Tuesday,22,,HORAN WAY,42.32547525,-71.10253485,"(42.32547525, -71.10253485)",0
192023220,3114,,INVESTIGATE PROPERTY,C11,462,1,2019-03-29 20:39:00,2019,3,Friday,20,,ROSSETER ST,42.30116112,-71.07284283,"(42.30116112, -71.07284283)",0
192023598,413,,ASSAULT - AGGRAVATED - BATTERY,E18, ,1,2019-03-31 03:14:00,2019,3,Sunday,3,,  BSTN MA ,,,,0
192023607,3115,,INVESTIGATE PERSON,B2,911,1,2019-03-31 04:36:00,2019,3,Sunday,4,,ANNUNCIATION RD,42.33506206,-71.09316785,"(42.33506206, -71.09316785)",2
192024405,3115,,INVESTIGATE PERSON,A1,123,1,2019-04-03 01:03:00,2019,4,Wednesday,1,,WASHINGTON ST,42.34997245,-71.06348821,"(42.34997245, -71.06348821)",1
192024921,3114,,INVESTIGATE PROPERTY,B2,300,1,2019-04-04 20:18:00,2019,4,Thursday,20,,THORNTON ST,42.32259191,-71.09207939,"(42.32259191, -71.09207939)",0
192024972,413,,ASSAULT - AGGRAVATED - BATTERY,B2,179,1,2019-04-05 02:07:00,2019,4,Friday,2,,GERARD ST,42.32808846,-71.07271657,"(42.32808846, -71.07271657)",0
192024979,3114,,INVESTIGATE PROPERTY,B3,432,1,2019-04-05 06:08:00,2019,4,Friday,6,,BALLOU AVE,42.28763028,-71.08067307,"(42.28763028, -71.08067307)",1
192025484,413,,ASSAULT - AGGRAVATED - BATTERY,E18,493,1,2019-04-06 23:18:00,2019,4,Saturday,23,,FRAZER ST,42.26307918,-71.1093854,"(42.26307918, -71.1093854)",0
192025510,3114,,INVESTIGATE PROPERTY,B2,333,1,2019-04-07 02:47:00,2019,4,Sunday,2,,COLUMBIA RD,42.31081882,-71.07133232,"(42.31081882, -71.07133232)",0
192026014,2662,,BALLISTICS EVIDENCE/FOUND,C11,461,1,2019-04-09 01:04:00,2019,4,Tuesday,1,,BOWDOIN AVE,42.30175971,-71.07555181,"(42.30175971, -71.07555181)",0
192026300,3115,,INVESTIGATE PERSON,C11,336,1,2019-04-10 00:54:44,2019,4,Wednesday,0,,HAMILTON ST,42.30770874,-71.06901878,"(42.30770874, -71.06901878)",0
192026841,2662,,BALLISTICS EVIDENCE/FOUND,C11,344,1,2019-04-11 21:41:00,2019,4,Thursday,21,,WESTVILLE ST,42.30010585,-71.07102714,"(42.30010585, -71.07102714)",1
192026892,423,,ASSAULT - AGGRAVATED,B2,309,1,2019-04-12 03:55:00,2019,4,Friday,3,,CHARLAME ST,42.31971334,-71.085459,"(42.31971334, -71.085459)",1
192027206,3114,,INVESTIGATE PROPERTY,D4,905,1,2019-04-13 04:58:00,2019,4,Saturday,4,,WASHINGTON ST,42.34028562,-71.07145453,"(42.34028562, -71.07145453)",0
192027214,3114,,INVESTIGATE PROPERTY,C11,362,1,2019-04-13 06:45:00,2019,4,Saturday,6,,WASHINGTON ST,42.29057493,-71.0716573,"(42.29057493, -71.0716573)",2
192027439,111,,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B3,421,1,2019-04-13 23:07:00,2019,4,Saturday,23,,VIOLET ST,42.27387334,-71.09019396,"(42.27387334, -71.09019396)",0
192027477,3114,,INVESTIGATE PROPERTY,B3,450,1,2019-04-14 01:23:00,2019,4,Sunday,1,,WHITFIELD ST,42.29169068,-71.07447262,"(42.29169068, -71.07447262)",1
192027478,1849,,"DRUGS - POSS CLASS B - COCAINE, ETC.",C11,352,1,2019-04-14 03:05:00,2019,4,Sunday,3,,WESTVILLE ST,42.30138736,-71.06584243,"(42.30138736, -71.06584243)",1
192027487,3114,,INVESTIGATE PROPERTY,B3,467,1,2019-04-14 04:16:00,2019,4,Sunday,4,,GILMER ST,42.28281063,-71.09722325,"(42.28281063, -71.09722325)",0
192028415,423,,ASSAULT - AGGRAVATED,E13,583,1,2019-04-17 21:59:00,2019,4,Wednesday,21,,GAY HEAD ST,42.32424819,-71.10525191,"(42.32424819, -71.10525191)",0
192028678,3114,,INVESTIGATE PROPERTY,D4, ,1,2019-04-18 23:42:00,2019,4,Thursday,23,,COLUMBUS AVE,,,,0
192028978,2662,,BALLISTICS EVIDENCE/FOUND,C11,357,1,2019-04-20 02:45:00,2019,4,Saturday,2,,DAKOTA ST,42.29938498,-71.06978869,"(42.29938498, -71.06978869)",1
192028991,3114,,INVESTIGATE PROPERTY,B2,585,1,2019-04-20 04:10:00,2019,4,Saturday,4,,PARKER HILL AVE,42.32852878,-71.10121968,"(42.32852878, -71.10121968)",1
192029188,3115,,INVESTIGATE PERSON,E13,651,1,2019-04-20 22:15:00,2019,4,Saturday,22,,HALL ST,42.30482863,-71.11338556,"(42.30482863, -71.11338556)",1
192030577,3115,,INVESTIGATE PERSON,C11,395,1,2019-04-25 21:15:00,2019,4,Thursday,21,,DORCHESTER AVE,42.28353788,-71.06492005,"(42.28353788, -71.06492005)",2
192030581,1501,,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",A1, ,1,2019-04-25 21:54:00,2019,4,Thursday,21,,  BSTN MA ,,,,0
192030892,3114,,INVESTIGATE PROPERTY,B2,300,1,2019-04-26 23:15:00,2019,4,Friday,23,,CEDAR ST,42.32541098,-71.09141414,"(42.32541098, -71.09141414)",1
192030902,3114,,INVESTIGATE PROPERTY,B2,260,1,2019-04-27 00:44:00,2019,4,Saturday,0,,HALF MOON ST,42.3163455,-71.07183292,"(42.3163455, -71.07183292)",1
192030906,3114,,INVESTIGATE PROPERTY,C6, ,1,2019-04-27 01:19:00,2019,4,Saturday,1,,GENERAL WILLIAM H DEVINE ,,,,0
192031184,3114,,INVESTIGATE PROPERTY,B2,329,1,2019-04-28 00:22:00,2019,4,Sunday,0,,COLUMBIA RD,42.30673432,-71.07712726,"(42.30673432, -71.07712726)",1
192031402,3115,,INVESTIGATE PERSON,C11,335,1,2019-04-29 00:20:00,2019,4,Monday,0,,COLEMAN ST,42.30776331,-71.06683066,"(42.30776331, -71.06683066)",1
192031699,3114,,INVESTIGATE PROPERTY,B3,466,1,2019-04-29 22:59:00,2019,4,Monday,22,,GOODALE RD,42.28362819,-71.09349556,"(42.28362819, -71.09349556)",0
192031704,2662,,BALLISTICS EVIDENCE/FOUND,, ,1,2019-04-30 00:03:00,2019,4,Tuesday,0,,JEROME,,,,0
192034260,2662,,BALLISTICS EVIDENCE/FOUND,C11,257,1,2019-04-30 00:04:00,2019,4,Tuesday,0,,JEROME ST,42.31465507,-71.0639984,"(42.31465507, -71.0639984)",1
192031955,3114,,INVESTIGATE PROPERTY,B2,181,1,2019-04-30 23:10:00,2019,4,Tuesday,23,,MAGAZINE ST,42.32779026,-71.06853248,"(42.32779026, -71.06853248)",1
192031969,3114,,INVESTIGATE PROPERTY,B2,179,1,2019-05-01 01:41:00,2019,5,Wednesday,1,,KEMBLE ST,42.32982847,-71.07466899,"(42.32982847, -71.07466899)",0
192031975,3114,,INVESTIGATE PROPERTY,B2,584,1,2019-05-01 02:56:00,2019,5,Wednesday,2,,FISHER AVE,42.32756925,-71.10181695,"(42.32756925, -71.10181695)",1
192032253,2662,,BALLISTICS EVIDENCE/FOUND,B2,309,1,2019-05-02 00:27:00,2019,5,Thursday,0,,CATAWBA ST,42.32004531,-71.08408185,"(42.32004531, -71.08408185)",1
192032264,3115,,INVESTIGATE PERSON,E18,546,1,2019-05-02 03:28:00,2019,5,Thursday,3,,WEST ST,42.2644906,-71.12734989,"(42.2644906, -71.12734989)",1
192032806,2662,,BALLISTICS EVIDENCE/FOUND,C11,345,1,2019-05-03 22:28:00,2019,5,Friday,22,,DRAPER ST,42.30246925,-71.06376582,"(42.30246925, -71.06376582)",1
192032804,3114,,INVESTIGATE PROPERTY,B3,464,1,2019-05-03 22:32:00,2019,5,Friday,22,,BLUE HILL AVE,42.29105635,-71.08933756,"(42.29105635, -71.08933756)",1
192033081,3114,,INVESTIGATE PROPERTY,C11,369,1,2019-05-05 01:05:00,2019,5,Sunday,1,,HOUGHTON ST,42.29402868,-71.05037216,"(42.29402868, -71.05037216)",0
192033309,3114,,INVESTIGATE PROPERTY,D14,816,1,2019-05-05 22:30:00,2019,5,Sunday,22,,EMPIRE ST,42.35811514,-71.12761371,"(42.35811514, -71.12761371)",0
192033317,3114,,INVESTIGATE PROPERTY,E13, ,1,2019-05-05 23:05:00,2019,5,Sunday,23,,CENTRE ST,42.30925492,-71.11598517,"(42.30925492, -71.11598517)",1
192033337,3109,,SERVICE TO OTHER PD INSIDE OF MA.,E13,569,1,2019-05-06 00:03:00,2019,5,Monday,0,,WASHINGTON ST,42.30307402,-71.1108186,"(42.30307402, -71.1108186)",1
192033331,1402,,VANDALISM,B2,259,1,2019-05-06 00:34:00,2019,5,Monday,0,,MAGNOLIA ST,42.31644081,-71.07085594,"(42.31644081, -71.07085594)",1
192033630,3114,,INVESTIGATE PROPERTY,B2,268,1,2019-05-06 23:17:00,2019,5,Monday,23,,ALBANY ST,42.3307693,-71.07766486,"(42.3307693, -71.07766486)",0
192033945,3114,,INVESTIGATE PROPERTY,B2,327,1,2019-05-08 01:37:00,2019,5,Wednesday,1,,WAYLAND ST,42.31368913,-71.07427083,"(42.31368913, -71.07427083)",0
192034557,413,,ASSAULT - AGGRAVATED - BATTERY,B2,328,1,2019-05-09 21:27:00,2019,5,Thursday,21,,INTERVALE ST,42.31049927,-71.07733583,"(42.31049927, -71.07733583)",0
192034580,3114,,INVESTIGATE PROPERTY,B2,330,1,2019-05-09 22:51:00,2019,5,Thursday,22,,SEAVER ST,42.30505365,-71.08403637,"(42.30505365, -71.08403637)",1
